country_code,country,country_long,Gold,Silver,Bronze,Total
USA,United States,United States of America,40,44,42,126
CHN,China,People's Republic of China,40,27,24,91
JPN,Japan,Japan,20,12,13,45
AUS,Australia,Australia,18,19,16,53
FRA,France,France,16,26,22,64
NLD,Netherlands,Netherlands,15,7,12,34
GBR,Great Britain,Great Britain,14,22,29,65
KOR,Korea,Republic of Korea,13,9,10,32
ITA,Italy,Italy,12,13,15,40
DEU,Germany,Germany,12,13,8,33
NZL,New Zealand,New Zealand,10,7,3,20
CAN,Canada,Canada,9,7,11,27
UZB,Uzbekistan,Uzbekistan,8,2,3,13
HUN,Hungary,Hungary,6,7,6,19
ESP,Spain,Spain,5,4,9,18
SWE,Sweden,Sweden,4,4,3,11
KEN,Kenya,Kenya,4,2,5,11
NOR,Norway,Norway,4,1,3,8
IRL,Ireland,Ireland,4,0,3,7
BRA,Brazil,Brazil,3,7,10,20
IRN,IR Iran,Islamic Republic of Iran,3,6,3,12
UKR,Ukraine,Ukraine,3,5,4,12
ROU,Romania,Romania,3,4,2,9
GEO,Georgia,Georgia,3,3,1,7
BEL,Belgium,Belgium,3,1,6,10
BGR,Bulgaria,Bulgaria,3,1,3,7
SRB,Serbia,Serbia,3,1,1,5
CZE,Czechia,Czechia,3,0,2,5
DNK,Denmark,Denmark,2,2,5,9
AZE,Azerbaijan,Azerbaijan,2,2,3,7
HRV,Croatia,Croatia,2,2,3,7
CUB,Cuba,Cuba,2,1,6,9
BRN,Bahrain,Bahrain,2,1,1,4
SVN,Slovenia,Slovenia,2,1,0,3
TWN,Chinese Taipei,Chinese Taipei,2,0,5,7
AUT,Austria,Austria,2,0,3,5
HKG,"Hong Kong, China","Hong Kong, China",2,0,2,4
PHL,Philippines,Philippines,2,0,2,4
DZA,Algeria,Algeria,2,0,1,3
IDN,Indonesia,Indonesia,2,0,0,2
ISR,Israel,Israel,1,5,1,7
POL,Poland,Poland,1,4,5,10
KAZ,Kazakhstan,Kazakhstan,1,3,3,7
JAM,Jamaica,Jamaica,1,3,2,6
ZAF,South Africa,South Africa,1,3,2,6
THA,Thailand,Thailand,1,3,2,6
AIN,AIN,AIN,1,3,1,5
ETH,Ethiopia,Ethiopia,1,3,0,4
CHE,Switzerland,Switzerland,1,2,5,8
ECU,Ecuador,Ecuador,1,2,2,5
PRT,Portugal,Portugal,1,2,1,4
GRC,Greece,Greece,1,1,6,8
ARG,Argentina,Argentina,1,1,1,3
EGY,Egypt,Egypt,1,1,1,3
TUN,Tunisia,Tunisia,1,1,1,3
BWA,Botswana,Botswana,1,1,0,2
CHL,Chile,Chile,1,1,0,2
LCA,Saint Lucia,Saint Lucia,1,1,0,2
UGA,Uganda,Uganda,1,1,0,2
DOM,Dominican Republic,Dominican Republic,1,0,2,3
GTM,Guatemala,Guatemala,1,0,1,2
MAR,Morocco,Morocco,1,0,1,2
DMA,Dominica,Dominica,1,0,0,1
PAK,Pakistan,Pakistan,1,0,0,1
TUR,Türkiye,Türkiye,0,3,5,8
MEX,Mexico,Mexico,0,3,2,5
ARM,Armenia,Armenia,0,3,1,4
COL,Colombia,Colombia,0,3,1,4
PRK,DPR Korea,Democratic People's Republic of Korea,0,2,4,6
KGZ,Kyrgyzstan,Kyrgyzstan,0,2,4,6
LTU,Lithuania,Lithuania,0,2,2,4
IND,India,India,0,1,5,6
MDA,Republic of Moldova,Republic of Moldova,0,1,3,4
XKX,Kosovo,Kosovo,0,1,1,2
CYP,Cyprus,Cyprus,0,1,0,1
FJI,Fiji,Fiji,0,1,0,1
JOR,Jordan,Jordan,0,1,0,1
MNG,Mongolia,Mongolia,0,1,0,1
PAN,Panama,Panama,0,1,0,1
TJK,Tajikistan,Tajikistan,0,0,3,3
ALB,Albania,Albania,0,0,2,2
GRD,Grenada,Grenada,0,0,2,2
MYS,Malaysia,Malaysia,0,0,2,2
PRI,Puerto Rico,Puerto Rico,0,0,2,2
CPV,Cabo Verde,Cabo Verde,0,0,1,1
CIV,Côte d'Ivoire,Côte d'Ivoire,0,0,1,1
EOR,EOR,Refugee Olympic Team,0,0,1,1
PER,Peru,Peru,0,0,1,1
QAT,Qatar,Qatar,0,0,1,1
SGP,Singapore,Singapore,0,0,1,1
SVK,Slovakia,Slovakia,0,0,1,1
ZMB,Zambia,Zambia,0,0,1,1
